model,split_seed,candidate_seed,layer_rule,layer,nested_model,features,n_candidates,n_images,n_positive,positive_rate,group_folds,oof_auroc,oof_auprc
bbb_densenet,1003,1,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16877,0.2109625,5,0.9773430008600617,0.9430433375840526
bbb_densenet,1003,1,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16877,0.2109625,5,0.9775542205393222,0.9438385487041534
bbb_densenet,1003,1,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,15341,0.1917625,5,0.6932064928624531,0.33674835665326674
bbb_densenet,1003,1,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,15341,0.1917625,5,0.804241994418984,0.44762075333497986
bbb_densenet,1003,1,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,15341,0.1917625,5,0.9757043323173895,0.9331961910393386
bbb_densenet,1003,1,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,15341,0.1917625,5,0.9757159560779081,0.9331279712698812
bbb_densenet,1003,1,prespecified_prelogit,penultimate,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,15341,0.1917625,5,0.9813424802025507,0.9450070190392595
bbb_densenet,1003,2,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16804,0.21005,5,0.6360951372438683,0.30012985517586355
bbb_densenet,1003,2,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16804,0.21005,5,0.7673177649373792,0.42324837605532817
bbb_densenet,1003,2,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16804,0.21005,5,0.976890739629461,0.942016910973769
bbb_densenet,1003,2,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16804,0.21005,5,0.9769010245255656,0.9420323163303932
