model,split_seed,candidate_seed,layer_rule,layer,singular_auprc,jvp_auprc,margin_auprc,transport_auprc,m3_auprc,m4_auprc,delta_transport_auprc
bbb_vgg19_bn,1002,1,prespecified_prelogit,penultimate,0.2847231989255385,0.3301277157450827,0.9458099851842564,0.8432935373701301,0.9473274755853744,0.948441639585562,0.0011141640001876008
bbb_vgg19_bn,1002,2,nested_selected_nonlogit,block5,0.2803104018681949,0.3257828033692719,0.9441330042231986,0.7321924871824237,0.9453958435813146,0.9462973904275171,0.0009015468462025833
bbb_vgg19_bn,1002,2,prespecified_prelogit,penultimate,0.2863507458000118,0.3324011345526403,0.9441020408120342,0.8437050080072062,0.945814775327605,0.946906118063878,0.0010913427362729822
bbb_vgg19_bn,1002,3,nested_selected_nonlogit,block5,0.2804489551258232,0.3254923272727953,0.9437127942438612,0.7341461775230994,0.945259756599219,0.9461628292743977,0.00090307267517864
bbb_vgg19_bn,1002,3,prespecified_prelogit,penultimate,0.2844647234848348,0.3300050025643621,0.94548772151071,0.8448683464349156,0.9472778869889086,0.948260616202534,0.0009827292136254107
bbb_vgg19_bn,1002,4,nested_selected_nonlogit,block5,0.280888377739141,0.3262049780386321,0.9440050993401145,0.7295311316812972,0.9456613750343794,0.9469681929174218,0.0013068178830424326
bbb_vgg19_bn,1002,4,prespecified_prelogit,penultimate,0.2846223969028503,0.3299501884934719,0.945694996936558,0.846337849478803,0.9474097877875558,0.9484482836859216,0.0010384958983657988
bbb_vgg19_bn,1003,0,nested_selected_nonlogit,block5,0.2859880432520748,0.3325202978207103,0.9473791175577614,0.7065181483599361,0.9491266422803176,0.951034574674979,0.0019079323946613602
bbb_vgg19_bn,1003,0,prespecified_prelogit,penultimate,0.2893337330791217,0.3355959579243007,0.9464750786677116,0.803530341751848,0.9485965335802772,0.9510547522461164,0.0024582186658391736
bbb_vgg19_bn,1003,1,nested_selected_nonlogit,block5,0.2851253169643322,0.3322411411456674,0.9486890031233106,0.7073741297210228,0.9502919666054196,0.9522362826280946,0.0019443160226749745
bbb_vgg19_bn,1003,1,prespecified_prelogit,penultimate,0.291751953789873,0.3392134124098273,0.94858274412418,0.8083427077842792,0.9505712956462412,0.9529482007955168,0.0023769051492755766
bbb_vgg19_bn,1003,2,nested_selected_nonlogit,block5,0.2855549764278818,0.3319813120347243,0.948255390342318,0.7071732174170262,0.9500795342575172,0.9519347771265494,0.0018552428690321587
bbb_vgg19_bn,1003,2,prespecified_prelogit,penultimate,0.2910803628194663,0.3378689416591769,0.9483245493411576,0.8088061304991578,0.9502497595909626,0.9523463991766888,0.0020966395857262565
bbb_vgg19_bn,1003,3,nested_selected_nonlogit,block5,0.2851114576971101,0.3316657060873888,0.947937004865722,0.7056622028303757,0.949786954186532,0.9516236335957916,0.0018366794092595784
bbb_vgg19_bn,1003,3,prespecified_prelogit,penultimate,0.2918879746777276,0.3388048942865359,0.948488034049958,0.8114988679393347,0.9506971792668404,0.9536158669748904,0.0029186877080500384
bbb_vgg19_bn,1003,4,nested_selected_nonlogit,block5,0.2855690653895639,0.3324481355721198,0.9474609734783568,0.7067481218148448,0.9490140295672236,0.9509139420037742,0.0018999124365506326
bbb_vgg19_bn,1003,4,prespecified_prelogit,penultimate,0.2908476006913537,0.3377078895536413,0.949195682501208,0.8079105327412972,0.9514684656417586,0.9537717126720352,0.002303247030276623
