model,split_seed,candidate_seed,layer_rule,layer,M0_singular,M1_jvp_proxy,M2_margin,M3_gradient,M4_transport,delta_transport_oof_auprc
bbb_inception_v3,1001,0,prespecified_prelogit,penultimate,0.33176378188154776,0.44442870670786816,0.9607990188509761,0.960777401326515,0.9656015381262475,0.004824136799732481
bbb_inception_v3,1001,1,nested_selected_nonlogit,mixed6,0.23959037512738823,0.34372806575983067,0.9669663154962238,0.9673148126029485,0.9683573287031015,0.0010425161001530459
bbb_inception_v3,1001,1,prespecified_prelogit,penultimate,0.33234833848211537,0.44762818510542046,0.9611765423982697,0.961175483645266,0.9656891990931569,0.00451371544789092
bbb_inception_v3,1001,2,nested_selected_nonlogit,mixed6,0.24140865105424775,0.3434349689513503,0.9679043914615257,0.968222886025828,0.9692740782775587,0.0010511922517307815
bbb_inception_v3,1001,2,prespecified_prelogit,penultimate,0.33226314695055453,0.4460471830809085,0.9609472030411088,0.9609130987825366,0.965708170283855,0.004795071501318415
bbb_inception_v3,1001,3,nested_selected_nonlogit,mixed6,0.23899677637355143,0.34112965217865165,0.966984726885697,0.9673191662657438,0.9683494821555707,0.0010303158898269382
bbb_inception_v3,1001,3,prespecified_prelogit,penultimate,0.33255050894280114,0.44635538287389537,0.9612966505566104,0.9613206867866775,0.9658613373727827,0.004540650586105199
bbb_inception_v3,1001,4,nested_selected_nonlogit,mixed6,0.2403996787712688,0.3450502239020946,0.9669809214104647,0.967283367106692,0.9684915075398599,0.0012081404331678591
bbb_inception_v3,1001,4,prespecified_prelogit,penultimate,0.3336268660291798,0.44864819717077364,0.9610085258690539,0.9609634922958785,0.9656941924976027,0.0047307002017241695
bbb_inception_v3,1002,0,nested_selected_nonlogit,mixed7,0.35171102457068454,0.4544590477201374,0.9640249167379946,0.9639219126734775,0.9671094155540836,0.0031875028806060968
bbb_inception_v3,1002,0,prespecified_prelogit,penultimate,0.35227895385917224,0.454324725917582,0.9642563076369702,0.9641658551466797,0.9673898256155691,0.0032239704688893367
bbb_inception_v3,1002,1,nested_selected_nonlogit,mixed7,0.3514024684878863,0.4539973610050888,0.9641615428201934,0.9640612971286405,0.9675596129392997,0.0034983158106591805
bbb_inception_v3,1002,1,prespecified_prelogit,penultimate,0.3515159863149842,0.45319874862376647,0.9639631037702335,0.9638686710856514,0.9673654474502655,0.003496776364614096
bbb_inception_v3,1002,2,nested_selected_nonlogit,mixed7,0.348552243532024,0.4518633061791878,0.9638194999100309,0.963708419879667,0.9669696901070655,0.003261270227398416
